"submission_date","state","tot_cases","new_case","pnew_case","tot_death","new_death","pnew_death","created_at","consent_cases","consent_deaths","conf_cases","prob_cases","conf_death","prob_death"
"2020-09-12T00:00:00.000","MI","220033","948.0","111","6934","5.0","0","2020-09-13T00:00:00.000","Agree","Agree","199610.0","20423","6610.0","324"
"2021-04-14T00:00:00.000","GU","7856","5.0","0","136","0.0","0","2021-04-15T13:58:27.750","Not agree","Not agree",NA,NA,NA,NA
"2020-07-10T00:00:00.000","VI","167","14.0","0","6","0.0","0","2020-07-11T18:25:05.541",NA,NA,NA,NA,NA,NA
"2021-09-28T00:00:00.000","NC","1385832","3995.0","976","17055","61.0","6","2021-09-28T00:00:00.000","Agree","Agree","1176488.0","209344","14999.0","2056"
"2021-12-14T00:00:00.000","ME","139501","1052.0","243","1378","2.0","0","2021-12-16T00:00:00.000","Agree","Agree","100551.0","38950","1270.0","108"
"2020-05-18T00:00:00.000","DE","8164","190.0","4","400","10.0","1","2020-05-20T00:00:00.000","Agree","Agree","7405.0","759","348.0","52"
"2022-05-25T00:00:00.000","MS","805800","505.0","261","12466","1.0","1","2022-05-26T13:18:31.583","Agree","Agree","442563.0","363237","8211.0","4255"
"2021-04-22T00:00:00.000","MI","928950","4107.0","474","18599","93.0","8","2021-04-23T00:00:00.000","Agree","Agree","833925.0","95025","17466.0","1133"
"2021-04-13T00:00:00.000","MD","428799","1084.0","0","9066","11.0","0","2021-04-15T00:00:00.000","N/A","Agree",NA,NA,"8856.0","210"
"2020-09-24T00:00:00.000","NH","8044","37.0","0","438","0.0","0","2020-09-25T13:54:10.196","Not agree","Not agree",NA,NA,NA,NA
"2020-11-09T00:00:00.000","IL","498560","10573.0","0","10563","25.0","11","2020-11-10T14:45:45.196","Agree","Agree","498560.0","0","10210.0","353"
"2020-12-04T00:00:00.000","VT","4497","70.0","1","81","2.0","0","2020-12-06T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2021-03-27T00:00:00.000","ME","49767","51.0","0","736","0.0","0","2021-03-29T00:00:00.000","Agree","Agree","38479.0","11288","713.0","23"
"2021-01-18T00:00:00.000","NH","57864","1000.0","0","933","0.0","0","2021-01-19T14:37:00.036","Not agree","Not agree",NA,NA,NA,NA
"2020-05-05T00:00:00.000","NE","6424","356.0","0","82","4.0","0","2020-05-07T00:00:00.000","Not agree","Not agree",NA,NA,NA,NA
"2021-12-02T00:00:00.000","NE","313935","1418.0","528","3180","12.0","0","2021-12-03T15:05:46.524","Agree","Agree","235152.0","78783","2665.0","515"
"2022-01-16T00:00:00.000","MT","212078","0.0","0","2945","0.0","0","2022-01-17T15:24:48.868","Agree","Agree","172693.0","39385","2945.0","0"
"2020-09-11T00:00:00.000","AL","135497","953.0","192","3638","20.0","3","2020-09-11T00:00:00.000","Agree","Agree","123541.0","11956","3182.0","456"
"2020-07-06T00:00:00.000","ND","3849","33.0","0","80","0.0","0","2020-07-07T14:58:02.598","Agree","Not agree","3849.0","0",NA,NA
"2020-08-05T00:00:00.000","MD","92426","572.0","0","3661","9.0","0","2020-08-07T00:00:00.000","N/A","Agree",NA,NA,"3516.0","145"
"2020-06-22T00:00:00.000","AL","30710","647.0","4","1199","12.0","3","2020-06-22T00:00:00.000","Agree","Agree","30331.0","379","1111.0","88"
"2022-03-22T00:00:00.000","NV","711794","343.0","35","10018","2.0","0","2022-03-23T15:04:18.824","Agree",NA,"657025.0","54769",NA,NA
"2021-07-04T00:00:00.000","MO","623734","1108.0","319","9340","0.0","0","2021-07-05T14:30:02.367","Not agree","Not agree",NA,NA,NA,NA
"2021-04-09T00:00:00.000","WA","373299","1375.0","267","5322","6.0","0","2021-04-09T00:00:00.000","N/A","N/A",NA,NA,NA,NA
"2020-12-23T00:00:00.000","ME","22770","385.0","77","318","6.0","0","2020-12-25T00:00:00.000","Agree","Agree","19526.0","3244","313.0","5"
