Name,Checked URLs,Violations,Score,,Accessibility Score
www.charleston.va.gov,67,9,2.90,0.1343283582,98.52%
www.annarbor.va.gov,54,7,2.95,0.1296296296,98.57%
www.northport.va.gov,47,6,2.97,0.1276595745,98.59%
www.lomalinda.va.gov,52,6,3.12,0.1153846154,98.73%
www.houston.va.gov,70,8,3.13,0.1142857143,98.74%
www.myhealth.va.gov,340,38,3.16,0.1117647059,98.77%
staging.va.gov,3257,359,3.18,0.1102241326,98.78%
www.orlando.va.gov,56,6,3.22,0.1071428571,98.82%
www.fargo.va.gov,58,6,3.27,0.1034482759,98.86%
www.rehab.va.gov,39,4,3.29,0.1025641026,98.87%
www.manchester.va.gov,49,5,3.29,0.1020408163,98.87%
www.lovell.fhcc.va.gov,63,6,3.39,0.09523809524,98.95%
www.polytrauma.va.gov,21,2,3.39,0.09523809524,98.95%
www.longbeach.va.gov,54,5,3.43,0.09259259259,98.98%
www.losangeles.va.gov,55,5,3.46,0.09090909091,99.00%
www.newjersey.va.gov,45,4,3.49,0.08888888889,99.02%
www.visn4.va.gov,68,6,3.50,0.08823529412,99.03%
www.littlerock.va.gov,57,5,3.51,0.08771929825,99.03%
www.birmingham.va.gov,58,5,3.54,0.08620689655,99.05%
www.mentalhealth.va.gov,129,11,3.55,0.08527131783,99.06%
www.roseburg.va.gov,47,4,3.55,0.08510638298,99.06%
www.alexandria.va.gov,48,4,3.58,0.08333333333,99.08%
www.patientcare.va.gov,36,3,3.58,0.08333333333,99.08%
www.shreveport.va.gov,48,4,3.58,0.08333333333,99.08%
www.boston.va.gov,62,5,3.63,0.08064516129,99.11%
www.richmond.va.gov,50,4,3.64,0.08,99.12%
www.biloxi.va.gov,52,4,3.70,0.07692307692,99.15%
www.phoenix.va.gov,56,4,3.81,0.07142857143,99.21%
www.oklahoma.va.gov,58,4,3.86,0.06896551724,99.24%
www.tucson.va.gov,58,4,3.86,0.06896551724,99.24%
www.innovation.va.gov,15,1,3.91,0.06666666667,99.26%
www.osp.va.gov,15,1,3.91,0.06666666667,99.26%
www.tomah.va.gov,46,3,3.94,0.0652173913,99.28%
www.philadelphia.va.gov,63,4,3.98,0.06349206349,99.30%
www.centraliowa.va.gov,50,3,4.06,0.06,99.34%
www.prosthetics.va.gov,50,3,4.06,0.06,99.34%
www.psychologytraining.va.gov,17,1,4.09,0.05882352941,99.35%
www.dayton.va.gov,52,3,4.12,0.05769230769,99.36%
www.augusta.va.gov,55,3,4.20,0.05454545455,99.40%
www.volunteer.va.gov,19,1,4.25,0.05263157895,99.42%
www.louisville.va.gov,96,5,4.26,0.05208333333,99.42%
www.pugetsound.va.gov,59,3,4.30,0.05084745763,99.44%
www.southtexas.va.gov,63,3,4.39,0.04761904762,99.47%
www.beckley.va.gov,43,2,4.43,0.04651162791,99.49%
www.huntington.va.gov,65,3,4.44,0.04615384615,99.49%
www.lexington.va.gov,68,3,4.50,0.04411764706,99.51%
www.bigspring.va.gov,48,2,4.58,0.04166666667,99.54%
www.elpaso.va.gov,48,2,4.58,0.04166666667,99.54%
www.healthquality.va.gov,49,2,4.61,0.04081632653,99.55%
www.wilkes-barre.va.gov,49,2,4.61,0.04081632653,99.55%
www.fayettevillenc.va.gov,50,2,4.64,0.04,99.56%
www.wallawalla.va.gov,50,2,4.64,0.04,99.56%
www.cem.va.gov,551,22,4.65,0.03992740472,99.56%
www.columbiasc.va.gov,51,2,4.67,0.03921568627,99.57%
www.syracuse.va.gov,52,2,4.70,0.03846153846,99.58%
www.muskogee.va.gov,53,2,4.73,0.03773584906,99.58%
www.spokane.va.gov,53,2,4.73,0.03773584906,99.58%
www.detroit.va.gov,54,2,4.75,0.03703703704,99.59%
www.connecticut.va.gov,57,2,4.83,0.0350877193,99.61%
www.tampa.va.gov,57,2,4.83,0.0350877193,99.61%
www.centraltexas.va.gov,60,2,4.91,0.03333333333,99.63%
www.chillicothe.va.gov,60,2,4.91,0.03333333333,99.63%
www.coatesville.va.gov,91,3,4.92,0.03296703297,99.64%
www.montana.va.gov,61,2,4.93,0.03278688525,99.64%
www.visn6.va.gov,36,1,5.17,0.02777777778,99.69%
www.buffalo.va.gov,42,1,5.39,0.02380952381,99.74%
www.oit.va.gov,89,2,5.48,0.02247191011,99.75%
www.southernoregon.va.gov,45,1,5.49,0.02222222222,99.75%
www.salem.va.gov,46,1,5.52,0.02173913043,99.76%
www.tuscaloosa.va.gov,47,1,5.55,0.02127659574,99.77%
www.battlecreek.va.gov,48,1,5.58,0.02083333333,99.77%
www.fayettevillear.va.gov,49,1,5.61,0.02040816327,99.77%
www.fresno.va.gov,49,1,5.61,0.02040816327,99.77%
www.bedford.va.gov,50,1,5.64,0.02,99.78%
www.madison.va.gov,52,1,5.70,0.01923076923,99.79%
www.hines.va.gov,53,1,5.73,0.01886792453,99.79%
www.topeka.va.gov,53,1,5.73,0.01886792453,99.79%
www.whiteriver.va.gov,53,1,5.73,0.01886792453,99.79%
www.neworleans.va.gov,55,1,5.78,0.01818181818,99.80%
www.prescott.va.gov,55,1,5.78,0.01818181818,99.80%
www.hudsonvalley.va.gov,56,1,5.81,0.01785714286,99.80%
www.martinsburg.va.gov,56,1,5.81,0.01785714286,99.80%
www.iowacity.va.gov,57,1,5.83,0.01754385965,99.81%
www.blackhills.va.gov,59,1,5.88,0.01694915254,99.81%
www.baypines.va.gov,62,1,5.95,0.01612903226,99.82%
www.hepatitis.va.gov,146,1,7.19,0.006849315068,99.92%
developer.va.gov,55,0,No Errors,0,100.00%
emergencycarereporting.communitycare.va.gov,1,0,No Errors,0,100.00%
inquiry.vba.va.gov,4,0,No Errors,0,100.00%
lgy.va.gov,7,0,No Errors,0,100.00%
m.va.gov,5,0,No Errors,0,100.00%
missionact.va.gov,2,0,No Errors,0,100.00%
va.gov,1,0,No Errors,0,100.00%
veteran.mobile.va.gov,3,0,No Errors,0,100.00%
www.acquisitionacademy.va.gov,41,0,No Errors,0,100.00%
www.alaska.va.gov,51,0,No Errors,0,100.00%
www.albany.va.gov,52,0,No Errors,0,100.00%
www.albuquerque.va.gov,63,0,No Errors,0,100.00%
www.altoona.va.gov,49,0,No Errors,0,100.00%
www.amarillo.va.gov,44,0,No Errors,0,100.00%
www.amputation.research.va.gov,1,0,No Errors,0,100.00%
www.annarbor.hsrd.research.va.gov,1,0,No Errors,0,100.00%
www.boise.va.gov,47,0,No Errors,0,100.00%
www.brrc.research.va.gov,1,0,No Errors,0,100.00%
www.cadre.research.va.gov,1,0,No Errors,0,100.00%
www.ccdor.research.va.gov,1,0,No Errors,0,100.00%
www.centralalabama.va.gov,50,0,No Errors,0,100.00%
www.centralwesternmass.va.gov,51,0,No Errors,0,100.00%
www.cep.fsc.va.gov,1,0,No Errors,0,100.00%
www.chicago.va.gov,48,0,No Errors,0,100.00%
www.choir.research.va.gov,1,0,No Errors,0,100.00%
www.ci2i.research.va.gov,1,0,No Errors,0,100.00%
www.cindrr.research.va.gov,1,0,No Errors,0,100.00%
www.cleveland.va.gov,64,0,No Errors,0,100.00%
www.clfamilymembers.fsc.va.gov,1,0,No Errors,0,100.00%
www.cmc3.research.va.gov,1,0,No Errors,0,100.00%
www.columbiamo.va.gov,50,0,No Errors,0,100.00%
www.cshiip.research.va.gov,1,0,No Errors,0,100.00%
www.desertpacific.va.gov,1,0,No Errors,0,100.00%
www.dieteticinternship.va.gov,1,0,No Errors,0,100.00%
www.dublin.va.gov,46,0,No Errors,0,100.00%
www.ehrm.va.gov,14,0,No Errors,0,100.00%
www.energy.va.gov,1,0,No Errors,0,100.00%
www.fingerlakes.va.gov,1,0,No Errors,0,100.00%
www.fss.va.gov,1,0,No Errors,0,100.00%
www.hiv.va.gov,70,0,No Errors,0,100.00%
www.houston.hsrd.research.va.gov,1,0,No Errors,0,100.00%
www.index.va.gov,8,0,No Errors,0,100.00%
www.ironmountain.va.gov,48,0,No Errors,0,100.00%
www.jackson.va.gov,51,0,No Errors,0,100.00%
www.kansascity.va.gov,1,0,No Errors,0,100.00%
www.lamp.visn8.med.va.gov,1,0,No Errors,0,100.00%
www.leavenworth.va.gov,45,0,No Errors,0,100.00%
www.lebanon.va.gov,79,0,No Errors,0,100.00%
www.marion.va.gov,53,0,No Errors,0,100.00%
www.memphis.va.gov,89,0,No Errors,0,100.00%
www.miami.va.gov,63,0,No Errors,0,100.00%
www.missionact.va.gov,1,0,No Errors,0,100.00%
www.mountainhome.va.gov,95,0,No Errors,0,100.00%
www.mvp.va.gov,1,0,No Errors,0,100.00%
www.ncrar.research.va.gov,1,0,No Errors,0,100.00%
www.nutrition.va.gov,24,0,No Errors,0,100.00%
www.nyharbor.va.gov,45,0,No Errors,0,100.00%
www.paloalto.va.gov,59,0,No Errors,0,100.00%
www.pay.va.gov,3,0,No Errors,0,100.00%
www.poplarbluff.va.gov,48,0,No Errors,0,100.00%
www.portlandcoin.research.va.gov,1,0,No Errors,0,100.00%
www.saginaw.va.gov,57,0,No Errors,0,100.00%
www.salisbury.va.gov,49,0,No Errors,0,100.00%
www.sandiego.va.gov,61,0,No Errors,0,100.00%
www.sanfrancisco.va.gov,56,0,No Errors,0,100.00%
www.sci.va.gov,6,0,No Errors,0,100.00%
www.sheridan.va.gov,49,0,No Errors,0,100.00%
www.southeast.va.gov,1,0,No Errors,0,100.00%
www.stlouis.va.gov,3,0,No Errors,0,100.00%
www.tennesseevalley.va.gov,114,0,No Errors,0,100.00%
www.texasvalley.va.gov,51,0,No Errors,0,100.00%
www.vendorportal.ecms.va.gov,1,0,No Errors,0,100.00%
www.vision.research.va.gov,1,0,No Errors,0,100.00%
www.visn10.va.gov,1,0,No Errors,0,100.00%
www.visn2.va.gov,3,0,No Errors,0,100.00%
www.wichita.va.gov,49,0,No Errors,0,100.00%
www.wilmington.va.gov,51,0,No Errors,0,100.00%
data.va.gov,0,0,No scans,#DIV/0!,
design.va.gov,0,0,No scans,#DIV/0!,
downloads.va.gov,0,0,No scans,#DIV/0!,
gibill.va.gov,0,0,No scans,#DIV/0!,
logon.iam.va.gov,0,0,No scans,#DIV/0!,
mhvidp-prod.myhealth.va.gov,0,0,No scans,#DIV/0!,
ssologon.iam.va.gov,0,0,No scans,#DIV/0!,
veteranshealthlibrary.va.gov,0,0,No scans,#DIV/0!,
wiki.mobilehealth.va.gov,0,0,No scans,#DIV/0!,
www.cancer.va.gov,0,0,No scans,#DIV/0!,
www.communityviewer.va.gov,0,0,No scans,#DIV/0!,
www.dementia.cindrr.research.va.gov,0,0,No scans,#DIV/0!,
www.durham.hsrd.research.va.gov,0,0,No scans,#DIV/0!,
www.epilepsy.va.gov,0,0,No scans,#DIV/0!,
www.fes.research.va.gov,0,0,No scans,#DIV/0!,
www.fsc.va.gov,0,0,No scans,#DIV/0!,
www.heartoftexas.va.gov,0,0,No scans,#DIV/0!,
www.hospitalcompare.va.gov,0,0,No scans,#DIV/0!,
www.listserv.va.gov,0,0,No scans,#DIV/0!,
www.newengland.va.gov,0,0,No scans,#DIV/0!,
www.peprec.research.va.gov,0,0,No scans,#DIV/0!,
www.research.iowa-city.med.va.gov,0,0,No scans,#DIV/0!,
www.seattle.eric.research.va.gov,0,0,No scans,#DIV/0!,
www.vacsp.research.va.gov,0,0,No scans,#DIV/0!,
www.vahcps.fsc.va.gov,0,0,No scans,#DIV/0!,
www.visn12.va.gov,0,0,No scans,#DIV/0!,
www.visn15.va.gov,0,0,No scans,#DIV/0!,
www.visn16.va.gov,0,0,No scans,#DIV/0!,
www.visn20.med.va.gov,0,0,No scans,#DIV/0!,
www.visn21.va.gov,0,0,No scans,#DIV/0!,
www.visn23.va.gov,0,0,No scans,#DIV/0!,
www.visn9.va.gov,0,0,No scans,#DIV/0!,
www.voa.va.gov,0,0,No scans,#DIV/0!,
